BASKET_ITEM;YEAR;PRICE_INDEX
CC13-01;2016;92,1
CC13-01;2017;94,6
CC13-01;2018;96,8
CC13-01;2019;97,9
CC13-01;2020;100,0
CC13-01;2021;103,1
CC13-01;2022;116,0
CC13-01;2023;130,3
CC13-011;2016;91,5
CC13-011;2017;94,2
CC13-011;2018;96,4
CC13-011;2019;97,8
CC13-011;2020;100,0
CC13-011;2021;103,1
CC13-011;2022;116,9
CC13-011;2023;131,4
CC13-0111;2016;95,4
CC13-0111;2017;95,7
CC13-0111;2018;97,0
CC13-0111;2019;99,2
CC13-0111;2020;100,0
CC13-0111;2021;103,3
CC13-0111;2022;116,8
CC13-0111;2023;135,9
CC13-01111;2016;92,1
CC13-01111;2017;92,8
CC13-01111;2018;95,0
CC13-01111;2019;98,7
CC13-01111;2020;100,0
CC13-01111;2021;102,6
CC13-01111;2022;115,7
CC13-01111;2023;135,5
CC13-01112;2016;95,7
CC13-01112;2017;94,2
CC13-01112;2018;95,9
CC13-01112;2019;100,2
CC13-01112;2020;100,0
CC13-01112;2021;104,1
CC13-01112;2022;134,2
CC13-01112;2023;157,6
CC13-01113;2016;93,7
CC13-01113;2017;94,7
CC13-01113;2018;95,8
CC13-01113;2019;98,6
CC13-01113;2020;100,0
CC13-01113;2021;103,8
CC13-01113;2022;117,8
CC13-01113;2023;132,5
CC13-01114;2016;94,6
CC13-01114;2017;95,1
CC13-01114;2018;97,1
CC13-01114;2019;99,6
CC13-01114;2020;100,0
CC13-01114;2021;103,6
CC13-01114;2022;115,7
CC13-01114;2023;140,6
CC13-01115;2016;102,0
CC13-01115;2017;101,0
CC13-01115;2018;101,7
CC13-01115;2019;101,1
CC13-01115;2020;100,0
CC13-01115;2021;101,8
CC13-01115;2022;113,5
CC13-01115;2023;136,1
CC13-01116;2016;99,6
CC13-01116;2017;97,4
CC13-01116;2018;98,0
CC13-01116;2019;98,8
CC13-01116;2020;100,0
CC13-01116;2021;102,3
CC13-01116;2022;122,5
CC13-01116;2023;144,9
CC13-01117;2016;96,9
CC13-01117;2017;97,7
CC13-01117;2018;97,9
CC13-01117;2019;99,8
CC13-01117;2020;100,0
CC13-01117;2021;102,5
CC13-01117;2022;111,5
CC13-01117;2023;131,4
CC13-01118;2016;104,4
CC13-01118;2017;102,8
CC13-01118;2018;101,0
CC13-01118;2019;100,6
CC13-01118;2020;100,0
CC13-01118;2021;100,7
CC13-01118;2022;106,1
CC13-01118;2023;114,6
CC13-0112;2016;88,1
CC13-0112;2017;90,0
CC13-0112;2018;91,6
CC13-0112;2019;94,3
CC13-0112;2020;100,0
CC13-0112;2021;102,8
CC13-0112;2022;117,7
CC13-0112;2023;127,5
CC13-01121;2016;93,0
CC13-01121;2017;94,2
CC13-01121;2018;96,9
CC13-01121;2019;98,6
CC13-01121;2020;100,0
CC13-01121;2021;103,2
CC13-01121;2022;123,0
CC13-01121;2023;129,7
CC13-01122;2016;85,7
CC13-01122;2017;88,1
CC13-01122;2018;88,9
CC13-01122;2019;91,9
CC13-01122;2020;100,0
CC13-01122;2021;102,5
CC13-01122;2022;119,6
CC13-01122;2023;127,9
CC13-01123;2016;89,3
CC13-01123;2017;92,5
CC13-01123;2018;95,9
CC13-01123;2019;99,3
CC13-01123;2020;100,0
CC13-01123;2021;103,8
CC13-01123;2022;119,8
CC13-01123;2023;128,9
CC13-01124;2016;94,3
CC13-01124;2017;94,7
CC13-01124;2018;95,9
CC13-01124;2019;98,6
CC13-01124;2020;100,0
CC13-01124;2021;104,9
CC13-01124;2022;128,9
CC13-01124;2023;142,5
CC13-01125;2016;91,0
CC13-01125;2017;94,0
CC13-01125;2018;97,7
CC13-01125;2019;99,6
CC13-01125;2020;100,0
CC13-01125;2021;102,1
CC13-01125;2022;106,0
CC13-01125;2023;119,4
CC13-01126;2016;91,7
CC13-01126;2017;94,4
CC13-01126;2018;97,3
CC13-01126;2019;98,8
CC13-01126;2020;100,0
CC13-01126;2021;102,0
CC13-01126;2022;109,4
CC13-01126;2023;117,5
CC13-01127;2016;85,8
CC13-01127;2017;88,1
CC13-01127;2018;89,7
CC13-01127;2019;92,8
CC13-01127;2020;100,0
CC13-01127;2021;102,0
CC13-01127;2022;113,7
CC13-01127;2023;123,8
CC13-01128;2016;88,1
CC13-01128;2017;89,7
CC13-01128;2018;91,2
CC13-01128;2019;93,7
CC13-01128;2020;100,0
CC13-01128;2021;103,0
CC13-01128;2022;116,1
CC13-01128;2023;126,4
CC13-0113;2016;91,7
CC13-0113;2017;95,0
CC13-0113;2018;96,2
CC13-0113;2019;99,2
CC13-0113;2020;100,0
CC13-0113;2021;102,0
CC13-0113;2022;112,6
CC13-0113;2023;129,1
CC13-01131;2016;89,9
CC13-01131;2017;93,0
CC13-01131;2018;93,5
CC13-01131;2019;97,2
CC13-01131;2020;100,0
CC13-01131;2021;103,4
CC13-01131;2022;117,5
CC13-01131;2023;128,9
CC13-01132;2016;89,7
CC13-01132;2017;89,4
CC13-01132;2018;90,9
CC13-01132;2019;97,0
CC13-01132;2020;100,0
CC13-01132;2021;101,7
CC13-01132;2022;112,6
CC13-01132;2023;134,4
CC13-01133;2016;94,8
CC13-01133;2017;98,9
CC13-01133;2018;99,6
